target,history,test_year,model,augmented,reference,n,MAE_improvement,RMSE_improvement,R2_improvement
cash_cover_months,short_2017_onward,2023,ridge,fiscal_plus_disaster,fiscal_only,103,0.012841385783902926,0.03397538897815977,0.006116419906863624
cash_cover_months,short_2017_onward,2023,ridge,fiscal_plus_disaster,fiscal_plus_fire,103,0.026476235246486457,0.03569341056222619,0.0064268357914886165
cash_cover_months,short_2017_onward,2023,tree,fiscal_plus_fire,fiscal_only,103,0.0,1.7763568394002505e-15,3.3306690738754696e-16
cash_cover_months,short_2017_onward,2023,tree,fiscal_plus_disaster,fiscal_only,103,0.0,1.7763568394002505e-15,4.440892098500626e-16
cash_cover_months,short_2017_onward,2023,tree,fiscal_plus_disaster,fiscal_plus_fire,103,0.0,0.0,1.1102230246251565e-16
maintenance_ratio_pct,long,2016,ridge,fiscal_plus_fire,fiscal_only,102,0.05759529249149864,1.0993878066124694,0.09094945390375742
maintenance_ratio_pct,long,2016,ridge,fiscal_plus_disaster,fiscal_only,102,-0.14492054963221435,2.839646559031493,0.23090247297116928
maintenance_ratio_pct,long,2016,ridge,fiscal_plus_disaster,fiscal_plus_fire,102,-0.20251584212371299,1.7402587524190238,0.13995301906741187
maintenance_ratio_pct,long,2016,tree,fiscal_plus_fire,fiscal_only,102,-1.4210854715202004e-14,-7.105427357601002e-15,-4.440892098500626e-16
maintenance_ratio_pct,long,2016,tree,fiscal_plus_disaster,fiscal_only,102,-7.105427357601002e-15,0.0,0.0
maintenance_ratio_pct,long,2016,tree,fiscal_plus_disaster,fiscal_plus_fire,102,7.105427357601002e-15,7.105427357601002e-15,4.440892098500626e-16
maintenance_ratio_pct,long,2017,ridge,fiscal_plus_fire,fiscal_only,100,0.24095880045821616,0.22917495356729845,0.016204560575446947
maintenance_ratio_pct,long,2017,ridge,fiscal_plus_disaster,fiscal_only,100,-0.4648029466750536,-0.6845169668840931,-0.04921713639466507
maintenance_ratio_pct,long,2017,ridge,fiscal_plus_disaster,fiscal_plus_fire,100,-0.7057617471332698,-0.9136919204513916,-0.06542169697011202
maintenance_ratio_pct,long,2017,tree,fiscal_plus_fire,fiscal_only,100,1.0658141036401503e-14,-3.552713678800501e-15,-1.1102230246251565e-16
maintenance_ratio_pct,long,2017,tree,fiscal_plus_disaster,fiscal_only,100,3.552713678800501e-15,-7.105427357601002e-15,-3.3306690738754696e-16
maintenance_ratio_pct,long,2017,tree,fiscal_plus_disaster,fiscal_plus_fire,100,-7.105427357601002e-15,-3.552713678800501e-15,-2.220446049250313e-16
maintenance_ratio_pct,long,2018,ridge,fiscal_plus_fire,fiscal_only,102,0.24656428650218842,0.060219032826552166,0.002951134269072564
maintenance_ratio_pct,long,2018,ridge,fiscal_plus_disaster,fiscal_only,102,0.7646872547626096,0.11290576152012477,0.005529274296517839
maintenance_ratio_pct,long,2018,ridge,fiscal_plus_disaster,fiscal_plus_fire,102,0.5181229682604211,0.052686728693572604,0.002578140027445275
maintenance_ratio_pct,long,2018,tree,fiscal_plus_fire,fiscal_only,102,0.0,7.105427357601002e-15,2.220446049250313e-16
maintenance_ratio_pct,long,2018,tree,fiscal_plus_disaster,fiscal_only,102,0.0,0.0,0.0
maintenance_ratio_pct,long,2018,tree,fiscal_plus_disaster,fiscal_plus_fire,102,0.0,-7.105427357601002e-15,-2.220446049250313e-16
maintenance_ratio_pct,long,2019,ridge,fiscal_plus_fire,fiscal_only,101,-0.22412990834038382,-0.005932239093539238,-0.00023511870962167336
maintenance_ratio_pct,long,2019,ridge,fiscal_plus_disaster,fiscal_only,101,-0.19401873531374036,-0.13305014424003758,-0.005279945547905784
maintenance_ratio_pct,long,2019,ridge,fiscal_plus_disaster,fiscal_plus_fire,101,0.030111173026643456,-0.12711790514649834,-0.005044826838284111
maintenance_ratio_pct,long,2019,tree,fiscal_plus_fire,fiscal_only,101,-3.552713678800501e-15,0.0,-2.220446049250313e-16
maintenance_ratio_pct,long,2019,tree,fiscal_plus_disaster,fiscal_only,101,-3.552713678800501e-15,0.0,0.0
maintenance_ratio_pct,long,2019,tree,fiscal_plus_disaster,fiscal_plus_fire,101,0.0,0.0,2.220446049250313e-16
